代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
PA003Q17JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Ask my child what he/she did in school that day,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q21DA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Discuss with my child how science can be applied in everyday life,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA006Q01TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school is at a short distance to home.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q02TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school has a good reputation.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q03TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school offers particular courses or school subjects.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q04TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school adheres to a particular <religious philosophy>.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q05TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,"The school has a particular approach to <pedagogy/didactics, e.g. example>.",Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q06TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,Other family members attended the school.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q07TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,"Expenses are low (e.g. tuition, books, room and board).",Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q08TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,"The school has financial aid available, such as a school loan, scholarship, or grant.",Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q09TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school has an active and pleasant school climate.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q10TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The academic achievements of students in the school are high.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q11TA,PA006,,,,How important are the following reasons for choosing a school for your child?,,There is a safe school environment.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q12HA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school has an international student body.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q13HA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school offers exchange programmes with schools in other countries.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q14HA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school has a focus on foreign language instruction.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q15DA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The children of friends or other people we trust attended the school.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q16DA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school has a focus on digital technologies.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA006Q17DA,PA006,,,,How important are the following reasons for choosing a school for your child?,,The school has innovative practices using <digital resources>.,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not important | Somewhat important | Important | Very important | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q01TA,PA007,,,,How much do you agree or disagree with the following statements?,,Most of my child’s school teachers seem competent and dedicated.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q02TA,PA007,,,,How much do you agree or disagree with the following statements?,,Standards of achievement are high in my child’s school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q04TA,PA007,,,,How much do you agree or disagree with the following statements?,,I am satisfied with the disciplinary atmosphere in my child’s school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q05TA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s progress is carefully monitored by the school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q06TA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school provides regular and useful information on my child’s progress.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q07TA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school does a good job in educating students.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q09NA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school provides an inviting atmosphere for parents to get involved.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q11NA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school provides effective communication between the school and families.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q12NA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school involves parents in the school’s decision-making process.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q13NA,PA007,,,,How much do you agree or disagree with the following statements?,,"My child’s school offers parent education (e.g. <courses on family literacy>) or family support programmes (e.g. <to assist with health, nutrition>).",非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q14NA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school informs families about how to help students with homework and other school-related activities.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q15NA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school cooperates with <community services> to strengthen school programmes and student development.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q16DA,PA007,,,,How much do you agree or disagree with the following statements?,,I am happy with the instructional methods used in my child’s school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q17DA,PA007,,,,How much do you agree or disagree with the following statements?,,My child’s school provides <school science> achievement data directly to parents or guardians.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q18DA,PA007,,,,How much do you agree or disagree with the following statements?,,Results from <social and emotional skills> assessments are provided directly to parents or guardians.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q19DA,PA007,,,,How much do you agree or disagree with the following statements?,,My child's school uses the results from <standardised tests> to inform parents or guardians about their child's progress.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q20DA,PA007,,,,How much do you agree or disagree with the following statements?,,My child's school uses the results from teacher-developed tests to inform parents or guardians about their child's progress.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q21DA,PA007,,,,How much do you agree or disagree with the following statements?,,"In my child’s school, <digital reources> are used well to support the students’ learning.",非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q22DA,PA007,,,,How much do you agree or disagree with the following statements?,,"In my child’s school, <digital resources> are used well to communicate with parents or guardians.",非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA007Q23DA,PA007,,,,How much do you agree or disagree with the following statements?,,I am happy with the content taught at my child’s school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q01TA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Discussed my child’s behaviour with a teacher on my own initiative,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q02TA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Discussed my child’s behaviour on the initiative of one of his/her teachers,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q03TA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Discussed my child’s progress with a teacher on my own initiative,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q04TA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Discussed my child’s progress on the initiative of one of their teachers,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q05TA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,"Participated in local school government, e.g. parent council or school management committee",是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q06NA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,"Volunteered in physical or extra-curricular activities (e.g. building maintenance, carpentry, gardening or yard work, school play, sports, field tri",是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q07NA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,"Volunteered to support school activities (volunteered in the school library, media centre, or canteen, assisted a teacher, appeared as a guest speak",是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q09NA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Talked about how to support learning at home and homework with my child’s teachers,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q10NA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,"Exchanged ideas on parenting, family support, or the child’s development with my child’s teachers",是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q11DA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Shared my own knowledge with students and/or teachers,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA008Q12DA,PA008,,,,"During <the last academic year>, have you participated in any of the following school-related activities?",,Exchanged information on how to use <digital resources> in school and at home with my child’s teachers,是 | 否 | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | Not supported by school | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q01NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,The meeting times were inconvenient.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q02NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I was not able to get off from work.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q03NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I had no one to take care of my child/ children.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q04NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,The way to school is unsafe.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q05NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I had problems with transportation.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q06NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I felt unwelcome at my child’s school.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q07NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I feel generally awkward in a school.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q08NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,My <language skills> were not sufficient.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q09NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I think participation is not relevant for my child’s development.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA009Q10NA,PA009,,,,"During <the last academic year>, has your participation in activities at your child’s school been hindered by any of the following issues?",,I do not know how I could participate in school activities.,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
