題組名稱,領域,小題數,小題編號,資料變項數
Electric Bicycle,數學,4,"Q01, Q02, Q03, Q04",12
Electric Vehicles,閱讀,4,"Q01, Q02, Q03, Q04",16
Elephants and Acacia Trees,科學,5,"Q01, Q02, Q03, Q04, Q05",9
Employment,閱讀,2,"Q01, Q02",3
Employment Data,數學,4,"Q01, Q02, Q03, Q04",10
Everyday Objects,閱讀,3,"Q01, Q03, Q04",10
Exchange,閱讀,3,"Q01, Q02, Q06",4
Experimental Digestion,科學,3,"Q02, Q03, Q04",13
Extinction Risk,閱讀,6,"Q01, Q02, Q03, Q04, Q06, Q08",14
Extinction of the Dinosaurs,科學,3,"Q01, Q03, Q04",11
Eye Colour,數學,3,"Q01, Q02, Q03",9
Fan Merchandise,數學,2,"Q01, Q02",3
Fast Fashion,閱讀,3,"Q01, Q02, Q03",9
Fence,數學,1,Q01,1
FestiRock,閱讀,7,"Q01, Q03, Q04, Q06, Q08, Q09, Q11",10
Field of Vision,數學,3,"Q01, Q02, Q03",7
Floor Area,數學,3,"Q01, Q02, Q03",8
Flu test,數學,3,"Q02, Q03, Q04",4
Football Tournament,數學,2,"Q01, Q03",12
Forest Fires,科學,2,"Q01, Q07",14
Fountains,數學,3,"Q01, Q02, Q03",11
Freezer Temperatures,數學,1,Q01,5
Frogs and Road Noise,閱讀,4,"Q01, Q02, Q03, Q04",8
Fuel,數學,3,"Q01, Q02, Q03",5
Fuel to Minimise Carbon Dioxide,科學,3,"Q02, Q03, Q04",9
Galileo,閱讀,4,"Q02, Q03, Q05, Q06",4
Gears,數學,2,"Q01, Q02",3
Geothermal Energy,科學,4,"Q01, Q02, Q03, Q04",7
Global Surface Temperature,閱讀,3,"Q01, Q02, Q03",8
Global warming and climate change,科學,3,"Q03, Q04, Q05",5
Great Pacific Garbage Patch,閱讀,4,"Q03, Q06, Q08, Q10",8
Green Parks,科學,3,"Q01, Q02, Q03",16
Gulf of Mexico,閱讀,3,"Q01, Q05, Q06",10
Habitable Zone,科學,3,"Q01, Q02, Q03",4
Headache Medicine,數學,3,"Q01, Q02, Q03",6
Headphone Order,數學,3,"Q01, Q02, Q03",5
Health App,數學,3,"Q01, Q02, Q03",4
Heart Rate,數學,3,"Q01, Q02, Q03",9
Heart Surgery,科學,3,"Q01, Q02, Q03",6
Honey,數學,3,"Q01, Q03, Q04",16
Hydro Power Plants,閱讀,4,"Q02, Q04, Q05, Q06",9
Ice Stupas,閱讀,4,"Q02, Q03, Q04, Q05",10
Iceberg,數學,2,"Q01, Q02",4
International School,數學,3,"Q01, Q02, Q03",7
Jeans Sizes,數學,2,"Q01, Q02",6
Job Vacancy,閱讀,2,"Q03, Q06",9
Labels,數學,1,Q01,1
Light Bulbs,科學,5,"Q01, Q02, Q03, Q04, Q05",10
Light at Night,閱讀,4,"Q01, Q02, Q03, Q05",14
Light pollution,科學,3,"Q03, Q04, Q07",12
Loss of biodiversity,閱讀,3,"Q01, Q02, Q03",10
Lotteries,數學,1,Q01,5
Lunar Issues,閱讀,2,"Q01, Q03",8
Machu Picchu,閱讀,6,"Q01, Q02, Q03, Q04, Q06, Q07",14
Magnetic Cleaners,閱讀,3,"Q01, Q02, Q03",8
Manatees and Power Plants,科學,4,"Q01, Q02, Q03, Q04",6
Map,數學,1,Q01,2
Medicine doses,數學,3,"Q01, Q02, Q04",3
Message in a Bottle,閱讀,6,"Q04, Q05, Q06, Q10, Q12, Q13",28
Microlending,閱讀,7,"Q01, Q03, Q04, Q05, Q09, Q10, Q12",16
Microplastics and Marine Organisms,科學,2,"Q02, Q03",6
Microwave Ovens,閱讀,6,"Q02, Q04, Q06, Q09, Q10, Q12",15
Migration,數學,3,"Q01, Q02, Q03",4
Mobile Phone Reviews,數學,3,"Q01, Q02, Q03",7
Movie Rewards Programme,數學,2,"Q02, Q03",4
Moving Out,數學,2,"Q01, Q02",7
Music Survey,數學,3,"Q01, Q02, Q03",7
Nalini Nadkarni,閱讀,5,"Q01, Q03, Q04, Q06, Q08",18
Natural Gas,科學,2,"Q01, Q02",5
Nikola Tesla,閱讀,7,"Q04, Q06, Q07, Q10, Q12, Q13, Q14",16
Nocturnal Pollination,閱讀,4,"Q02, Q03, Q04, Q05",5
Noise pollution,科學,1,Q01,5
Number Check,數學,1,Q01,4
Number Cubes,數學,1,Q02,6
Ocean Debris,科學,1,Q01,6
Ocean currents,科學,1,Q01,2
Offshore wind turbine farm,科學,3,"Q01, Q02, Q04",6
Oil Spills,科學,3,"Q01, Q02, Q04",16
Oily birds,科學,2,"Q01, Q02",5
Olympic Flag,閱讀,6,"Q01, Q03, Q04, Q06, Q07, Q08",12
Opening Night,閱讀,5,"Q02, Q03, Q05, Q06, Q07",7
PET Scans,閱讀,1,Q02,4
Painting A Room,數學,3,"Q01, Q02, Q03",10
Parachutes,科學,2,"Q01, Q04",4
Parcel Post,閱讀,3,"Q02, Q04, Q05",4
Part Time Work,數學,1,Q02,1
Part Time Work A,數學,1,Q03,1
Part Time Work C,數學,1,Q01,2
Penguin Island,科學,4,"Q02, Q03, Q04, Q05",12
Picnic Ants,閱讀,5,"Q01, Q02, Q03, Q04, Q05",8
Pipelines,數學,1,Q01,5
Plant Diversity,閱讀,3,"Q02, Q03, Q04",10
Plant Milks,閱讀,5,"Q02, Q03, Q04, Q05, Q06",6
Plastic,閱讀,7,"Q01, Q03, Q04, Q05, Q09, Q10, Q11",20
Plastic Age,科學,3,"Q04, Q05, Q06",13
Polar Bears and Climate Change,科學,2,"Q03, Q04",2
Polymers,科學,2,"Q01, Q02",5
Porous Materials,閱讀,3,"Q02, Q03, Q05",5
Predicting Height,數學,2,"Q02, Q03",6
Pupil Reflex,閱讀,4,"Q01, Q02, Q03, Q04",8
Question of the Week,閱讀,8,"Q02, Q03, Q07, Q09, Q10, Q12, Q13, Q14",12
"RF1 (Reading Fluency),RF9(Reading Fluency)",閱讀,11,"Q03, Q04, Q20, Q24, Q27, Q33, Q35, Q43, Q52, Q59, Q61",22
"RF2(Reading Fluency),RF10(Reading Fluency)",閱讀,11,"Q02, Q10, Q13, Q18, Q25, Q37, Q41, Q42, Q45, Q57, Q60",22
"RF3(Reading Fluency),RF11(Reading Fluency)",閱讀,10,"Q01, Q05, Q14, Q22, Q23, Q34, Q38, Q47, Q55, Q65",20
"RF4(Reading Fluency),RF12(Reading Fluency)",閱讀,11,"Q09, Q15, Q16, Q19, Q26, Q28, Q30, Q44, Q48, Q56, Q58",22
"RF5(Reading Fluency),RF7(Reading Fluency)",閱讀,11,"Q06, Q07, Q31, Q32, Q39, Q46, Q50, Q51, Q53, Q54, Q64",22
"RF6(Reading Fluency),RF8(Reading Fluency)",閱讀,11,"Q08, Q11, Q17, Q21, Q29, Q36, Q40, Q49, Q62, Q63, Q66",22
Racing,數學,1,Q02,4
Rainwater Harvesting,閱讀,4,"Q01, Q02, Q03, Q04",8
Reforestation,閱讀,3,"Q01, Q02, Q03",10
Robot,數學,3,"Q02, Q03, Q04",17
Roof Truss Design,數學,3,"Q01, Q02, Q03",13
Running Time,數學,1,Q01,1
Salinity of Water,數學,3,"Q01, Q02, Q03",11
Seats in a Theatre,數學,2,"Q01, Q02",4
Sebastiao Salgado,閱讀,5,"Q01, Q02, Q03, Q04, Q05",9
Shadows,數學,2,"Q01, Q02",4
Shirts,閱讀,3,"Q04, Q05, Q07",4
Shoe Sizes,數學,2,"Q01, Q02",9
Sinking Cities,閱讀,2,"Q02, Q04",12
Sitting Disease,閱讀,6,"Q01, Q02, Q03, Q05, Q08, Q09",10
Sleep,閱讀,4,"Q03, Q06, Q07, Q10",10
Sleep and Reaction Time,數學,3,"Q01, Q02, Q03",9
Smoke Jumpers,閱讀,7,"Q03, Q04, Q06, Q08, Q10, Q11, Q13",20
Soaps and Sachets,閱讀,2,"Q02, Q03",4
Soccer Ball,閱讀,4,"Q01, Q03, Q04, Q05",12
Solar Panels,科學,3,"Q02, Q07, Q08",9
Solar Power Generation (Solar Panels),科學,3,"Q02, Q07, Q08",9
South Pole,閱讀,5,"Q01, Q02, Q04, Q05, Q06",9
Space Debris,閱讀,7,"Q05, Q06, Q08, Q10, Q13, Q14, Q15",12
Spacers,數學,3,"Q01, Q02, Q03",3
Speeding Fines,數學,3,"Q01, Q02, Q03",4
Spoons,科學,1,Q01,4
Stop The Car,數學,1,Q01,2
Stuck pots,科學,4,"Q01, Q02, Q03, Q06",12
Summer Job,閱讀,4,"Q01, Q04, Q05, Q06",9
T Rex Body Size,閱讀,5,"Q01, Q02, Q03, Q04, Q05",14
Tablet Cover,數學,2,"Q01, Q02",6
Takeaway Containers,閱讀,4,"Q01, Q02, Q03, Q04",20
Teen Health Forum,閱讀,6,"Q01, Q02, Q04, Q05, Q06, Q07",10
Telephone Rates,數學,1,Q01,2
Tennis balls,數學,2,"Q01, Q02",4
The Better Deal,數學,2,"Q01, Q02",6
The Cleanup,閱讀,5,"Q01, Q02, Q03, Q04, Q06",18
The Favour,閱讀,7,"Q01, Q02, Q04, Q05, Q06, Q08, Q10",32
The Skellig Rocks,閱讀,7,"Q03, Q04, Q05, Q06, Q09, Q12, Q14",16
Thermometer Cricket,數學,2,"Q01, Q02",3
Third Side,數學,1,Q01,2
Tide movement,科學,3,"Q02, Q03, Q04",6
Tile Arrangement,數學,1,Q01,4
Tornadoes,科學,2,"Q01, Q02",7
Tossing Coins,數學,1,Q01,4
Transport,數學,1,Q01,10
Tyres,數學,2,"Q01, Q02",8
University Student Employment,數學,3,"Q01, Q02, Q03",10
Urban Heat Island Effect,科學,4,"Q01, Q02, Q03, Q04",18
Urban Population,數學,3,"Q01, Q02, Q03",10
Vaccination,科學,5,"Q01, Q02, Q03, Q04, Q05",16
Vertical Farms,科學,3,"Q01, Q02, Q03",3
Water Bill,數學,4,"Q01, Q02, Q03, Q04",7
Water Reservoir,數學,2,"Q01, Q02",4
Water Temperature,數學,2,"Q01, Q02",3
Water from Fog,科學,2,"Q02, Q04",5
Wave Energy,閱讀,3,"Q01, Q02, Q04",12
Wheelchair Basketball,數學,1,Q02,1
Wild Oat Grass,科學,4,"Q01, Q03, Q04, Q05",9
Wildfires and the Fire Triangle,科學,3,"Q01, Q02, Q03",8
Wind Farm,閱讀,3,"Q01, Q02, Q04",8
Wooden Train Set,數學,2,"Q01, Q03",5
Work Right,閱讀,3,"Q02, Q03, Q06",6
Yogurt,數學,1,Q01,2
Zedland Topography,數學,3,"Q01, Q02, Q03",5
